shortname,name,content
komnr,Kommunenummer,
gaardsnr,Gaardsnummer,
bruksnr,Bruksnummer,
festenr,Festenummer,
bruksnavn,Bruksnavn,
jordbruksareal,Gjeldende_jordbruksareal,
skogareal,Gjeldende_produktiv_skog,
annet_areal,Gjeldende_annet_areal,
fulldyrket,Gjeldende_fulldyrket,
overflatedyrket,Gjeldende_overflatedyrket,
innmarksbeite,Gjeldende_innmarksbeite,
lbe_id,lbe_id,Id til tilknyttet landbrukseiendom
