, name, 
, Orgnavn/orgnr., 
, Sum pristilskudd, 
, Distriktstilskudd egg, 
, Distriktstilskudd kjøtt, 
, Distriktstilskudd gris, 
, Grunntilskudd kjøtt, 
, Tilskudd norsk ull, 
, Tilskudd norsk skinn, 
, Pristilskudd ku- og geitemelk, 
, Frakttilskudd kraftfor, 
, Grunntilskudd geitemelk, 
, Grunntilskudd økologisk melk, 
, Kvalitetstilskudd storfe, 
, Tilskudd til lam og kje, 
