ID;KOMNR;GARDSNR;BRUKSNR;FESTENR;BRUKSNAVN;JORDBRUKSAREAL;ANNETAREAL;SKOGAREAL;FULLDYRKET;OVERFLATEDYRKET;INNMARKSBEITE
"13015";"3450";29;2;0;;68.6;19.9;376.4;41.1;8.0;19.5
"131520";"3450";29;35;0;"TANGEN";13.6;1.7;0.0;9.4;4.0;0.2
"209991";"3450";30;1;0;"LØVHAUG";44.9;251.4;201.1;12.0;8.7;24.2
"201086";"3450";31;39;0;"FAGERHEIM";2.8;10.3;50.5;2.8;0.0;0.0
"201088";"3450";32;17;0;"BERGSBAKSTØLEN";62.0;996.3;60.0;0.0;28.1;33.9
"126335";"3450";33;15;0;"NYSTØLEN";31.3;371.4;75.6;0.0;0.0;31.3
"201089";"3450";34;15;0;"SOLBRÆKSKOG";65.3;5514.9;0.0;35.0;0.0;30.3
"201091";"3450";35;13;0;"JOMFRUSLETTET";37.3;1692.6;1.7;0.0;9.9;27.4
"201092";"3450";35;132;0;;0.3;64.1;0.0;0.3;0.0;0.0
"156342";"3450";112;45;0;"AAFETTEIGEN";0.0;21.4;36.1;0.0;0.0;0.0
"201093";"3450";114;9;0;"GAMLESTØLEN";81.5;2395.7;454.9;70.9;0.0;10.6
"151798";"3450";118;43;0;"KINNSVOLDEN";0.3;16.4;66.9;0.0;0.0;0.3
"198180";"3450";123;15;0;"KLEVGÅRDSBAKKENE";5.9;0.4;22.7;1.3;0.0;4.6
"201103";"3450";133;7;0;"ØYANGSTUA";0.0;0.8;25.2;0.0;0.0;0.0
"195189";"3450";142;6;0;"MIDTVOLLEN";0.0;18.9;9.6;0.0;0.0;0.0
"201104";"3451";3;2;0;"FULSENLÆGERET";32.7;4.5;0.0;23.7;0.0;9.0
"201107";"3451";4;7;0;"BJØRNEBO";6.5;581.7;45.8;0.0;0.0;6.5
"100384";"3451";4;8;0;"SOLHALL";0.0;1.6;17.9;0.0;0.0;0.0
"127054";"3451";11;4;0;"VANGEN";2.5;4.4;0.0;1.9;0.0;0.6
"201109";"3451";16;6;0;"KALVAEN";6.0;14.2;0.0;0.0;5.5;0.5
"159314";"4213";9;7;0;"HARBONES";0.0;1.9;11.5;0.0;0.0;0.0
"131801";"4213";19;17;0;"DAL";4.6;1.7;12.5;4.6;0.0;0.0
"127392";"4213";29;13;0;"SOLLI";2.7;1.5;7.1;2.7;0.0;0.0
"201767";"4213";33;5;0;"VENELI";9.5;1.1;4.0;9.5;0.0;0.0
"78775";"4626";7;3;0;"SOLBORG";0.0;1.9;0.0;0.0;0.0;0.0
"140533";"4626";8;68;0;;0.7;5.3;1.0;0.0;0.7;0.0
"140548";"4626";11;28;0;"KVELDSRO";0.7;0.0;0.0;0.0;0.0;0.7
"86996";"4626";11;113;0;;0.0;0.8;0.0;0.0;0.0;0.0
"86997";"4626";15;11;0;"MAURVIK";0.0;28.7;7.7;0.0;0.0;0.0
"86998";"4626";18;17;0;"HAUGEN";3.3;18.8;0.0;1.7;0.0;1.6
"233762";"4203";58;6;0;"KJENDALEN AV OKSEKJÆRRET";3.5;4.1;1.1;3.5;0.0;0.0
