orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
818027672;3033;1180;0;7936;0;33590;0;0;0;0;3341;0;8454;0;0;0;0
818275862;3033;0;0;0;0;19512;0;0;0;0;0;0;0;0;0;0;0
818305842;1119;47884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
818415222;5001;66686;0;0;0;20712;0;22172;0;0;3761;0;0;0;0;0;0
818468652;3442;36104;0;0;0;0;0;0;0;102103;0;0;0;0;0;0;0
818637322;3420;18082;0;0;0;0;0;0;0;0;9849;0;0;0;0;0;0
818704542;3034;69175;0;0;0;24607;0;0;0;0;0;0;0;0;0;0;0
818704542;3228;8436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
818779682;3411;3667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
818825722;3332;0;0;0;0;0;0;10061;0;0;0;0;0;0;0;0;0
818855532;3006;0;0;0;0;24838;0;0;0;0;0;0;0;0;0;0;0
818866852;3026;0;0;0;0;0;0;28356;0;0;0;0;0;0;0;0;0
818898312;3105;40368;0;0;0;14219;0;0;0;0;0;0;0;0;0;0;0
818898312;3003;46695;0;0;0;35789;0;0;0;0;0;0;0;0;0;0;0
818943202;3415;0;0;0;0;8156;0;0;0;0;0;0;0;0;0;0;0
819043132;3004;1599;0;4048;0;0;0;0;0;0;0;0;0;0;0;0;0
819885192;3413;63584;0;0;0;23816;0;13145;0;0;0;0;0;0;0;0;0
819963622;3034;51207;0;0;0;40555;0;0;0;0;0;0;0;0;0;0;0
819965722;3002;19384;0;0;0;10106;0;0;93636;0;37477;0;0;0;0;0;0
820059522;5007;17593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
820156552;5006;23425;0;0;0;25127;0;0;0;0;0;0;0;0;0;0;0
820181352;5037;41357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
820182502;5037;55594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
820236912;3413;149712;0;0;0;0;0;38784;0;0;0;0;0;0;0;0;0
820320662;3419;98662;0;0;0;113360;0;0;0;0;0;0;0;0;0;0;0
820326792;3303;0;0;0;0;7102;0;0;0;0;0;0;0;0;0;0;0
820326792;3006;0;0;0;0;18303;0;0;0;0;0;0;0;0;0;0;0
820745442;3415;331334;0;0;0;167571;0;0;0;0;0;0;0;0;0;0;0
820802322;3003;91580;0;0;0;0;0;0;0;0;10331;0;0;0;0;0;0
820823192;5001;59144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
820876792;3038;0;0;0;0;0;0;40822;28802;0;0;0;0;0;0;0;0
821002702;3228;42192;0;0;0;15871;0;0;0;0;0;0;0;0;0;0;0
821002702;3034;102748;0;0;0;82483;0;0;0;0;0;0;0;0;0;0;0
821027292;3804;46925;0;0;0;74168;0;28715;15187;0;0;0;0;0;0;0;0
821227062;3816;0;0;0;0;8694;0;33514;0;0;0;0;0;0;0;0;0
821335922;3411;85360;0;0;0;8990;0;0;0;0;0;0;0;0;0;0;0
821640822;3014;22240;0;0;0;38848;0;0;0;0;0;0;0;0;0;0;0
821975042;3443;82316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
822074782;5006;212587;0;0;0;55860;0;14035;0;0;0;0;0;0;0;0;0
822084532;3413;58629;0;0;0;33525;0;0;0;0;0;0;0;0;0;0;0
822179932;3014;50484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
822208622;3416;4628;0;0;0;6911;0;0;0;0;0;0;0;0;0;0;0
822266002;3120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
822266002;3016;55863;0;0;0;27540;0;40674;33779;0;23083;0;0;0;0;0;0
822304982;3446;5164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
822306012;3003;14115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
822877982;301;0;0;0;0;36503;0;0;0;0;0;0;0;0;0;0;0
822942202;3812;0;0;0;0;2210;0;7756;0;0;0;0;0;0;0;0;0
822945252;3442;176884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
823228082;5006;24034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
823358172;3446;0;0;0;0;11449;0;0;0;0;0;0;0;0;0;0;0
823532822;3240;94355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
823532822;3035;7281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
823620152;3016;86063;0;0;0;0;0;13076;121788;0;0;0;0;0;0;0;0
824357242;3411;98393;0;0;0;0;0;86160;0;0;39803;0;0;0;0;0;0
824362602;5006;26495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
824433372;3030;27089;0;0;0;77553;0;0;0;0;0;0;0;0;0;0;0
824450242;3442;29673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
824571872;3014;0;0;0;0;67969;0;21091;0;0;0;0;0;0;0;0;0
824571872;3118;0;0;0;0;30846;0;22623;0;0;0;0;0;0;0;0;0
824621292;3804;0;0;0;0;0;0;20064;0;0;0;0;0;0;0;0;0
824765022;3418;83626;3600;0;0;33457;1840;12477;12323;1200;0;0;0;0;0;0;0
824792852;3048;18348;0;0;0;0;0;7589;0;0;0;0;0;0;0;0;0
824912092;5028;24141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
825007512;3412;12013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
825159142;5028;5333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
825421262;5057;42110;0;0;0;17730;0;0;0;0;0;0;0;0;0;0;0
