orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
898799042;3107;0;0;0;0;0;0;51016;0;0;0;0;0;0;0;0;0
898887642;3118;107778;0;0;0;0;0;47148;0;76659;0;0;0;0;0;0;0
911565773;3413;12608;20306;0;0;0;0;114471;0;0;0;0;0;0;0;0;0
911608103;3218;809;0;0;0;0;0;0;0;1009;0;0;0;0;0;0;0
911611228;3228;0;40780;0;0;0;0;129754;0;197810;0;0;0;0;0;0;0
911652366;3224;0;0;0;0;0;0;217707;0;86733;0;0;0;0;0;0;0
911734311;3909;0;0;0;41581;0;0;77994;0;0;0;0;0;0;0;6666;0
911744821;5054;0;0;0;0;0;0;64547;0;0;0;0;0;0;0;0;0
911790947;3209;0;0;0;0;0;0;0;0;18841;0;0;0;0;0;0;0
911826399;3407;0;0;0;0;0;0;17934;0;0;0;0;0;0;0;0;0
911931176;5041;0;0;0;0;0;0;0;0;41887;0;0;0;0;0;0;0
912130339;3242;0;0;0;0;0;0;0;0;18238;0;0;0;0;0;0;0
912222217;5059;0;0;0;0;0;0;81894;0;0;0;0;0;0;0;0;0
912265935;3446;23305;85;0;0;0;0;85354;0;0;0;0;0;0;0;0;0
912271366;3314;0;56278;0;0;0;0;63702;0;37811;0;0;0;0;0;0;0
912301559;3312;0;11804;0;0;0;0;0;0;10271;0;0;0;0;0;0;0
912408760;4003;0;0;0;0;0;0;115632;0;144379;0;0;0;0;0;0;0
912484289;3446;0;0;0;0;0;0;82630;0;0;0;0;0;0;0;0;0
912741672;3018;0;0;0;0;0;0;0;0;58273;0;0;0;0;0;0;0
912779548;3220;0;9772;0;26932;0;0;0;0;20973;0;0;0;0;0;0;0
912805808;3015;0;42276;0;0;0;0;18796;0;0;0;0;0;0;0;0;0
912822036;3413;0;102263;0;0;0;0;63111;0;71920;0;0;0;0;0;0;0
912831213;3226;0;0;0;0;0;0;36589;0;50970;0;0;0;0;0;0;0
912834085;5006;0;0;0;0;0;0;17533;0;0;0;0;0;0;0;0;0
912847454;3228;0;0;0;0;0;0;201561;0;277023;0;0;0;0;0;0;0
912853861;3438;0;15121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912861147;3412;0;0;0;0;0;0;77486;0;0;0;0;0;0;0;0;0
912888436;3316;0;0;0;0;0;0;62862;0;0;0;0;0;0;0;0;0
912993183;3226;0;0;0;0;0;0;72118;0;90120;0;0;0;0;0;0;0
912996271;3228;0;0;0;0;0;0;13635;0;0;0;0;0;0;0;0;0
912998576;3909;0;0;0;0;0;0;10384;0;0;0;0;0;0;0;0;0
913007123;3452;0;0;0;0;0;0;15667;0;0;0;0;0;0;0;0;0
913016564;3446;0;0;0;0;0;0;63180;0;0;0;0;0;0;0;0;0
913025598;3124;0;0;0;0;0;0;0;0;16176;0;0;0;0;0;0;0
913025792;5029;0;0;0;0;0;0;76835;0;0;0;0;0;0;0;0;0
913043065;3226;0;0;0;0;0;0;25049;0;0;0;0;0;0;0;0;0
913048598;3442;0;0;0;0;0;0;280325;0;0;0;0;0;0;0;0;0
913068475;5059;0;0;0;0;0;0;67978;0;0;0;0;0;0;0;0;0
913076559;4003;44936;30390;0;0;0;0;0;0;0;0;0;0;0;0;0;0
913103319;5001;0;8269;0;0;0;0;37710;0;21075;0;0;0;0;0;0;0
913118367;3209;0;169768;0;0;0;0;0;0;105749;0;0;0;22586;0;0;0
913141407;3226;75860;1375;0;0;0;0;393011;0;457553;0;0;0;20443;0;12820;0
913167473;3228;0;56042;0;0;0;0;134965;0;113556;0;0;0;0;0;0;0
913258509;3905;0;74739;0;0;0;0;0;0;0;0;0;0;0;0;0;0
913270568;5006;0;40970;0;0;0;0;0;0;69252;0;0;0;0;0;0;0
913271408;3414;0;0;0;0;0;0;0;0;26828;0;0;0;0;0;0;0
913311515;3414;0;0;0;0;0;0;72324;0;137265;0;0;0;0;0;0;0
913455681;3303;0;0;0;0;0;0;0;0;61489;0;0;0;0;0;0;0
913512928;1812;0;0;0;0;0;0;60364;0;0;0;0;0;0;0;0;0
913513665;3417;0;54729;0;0;0;0;158514;0;73476;0;0;0;0;0;0;0
913899164;3303;0;15383;0;0;0;0;0;0;29669;0;0;0;0;0;0;0
914005205;1124;0;0;0;0;0;0;24811;0;0;0;0;0;0;0;0;0
914229219;3305;0;84716;0;0;0;0;0;0;29322;0;0;0;0;0;0;0
914263697;3122;0;62852;0;0;0;0;0;0;0;0;0;0;8029;0;0;0
914500842;3416;0;0;0;0;0;0;0;0;22821;0;0;0;0;0;0;0
914720265;5054;0;0;0;0;0;0;63615;0;4140;0;0;0;0;0;0;0
914789389;3314;0;0;0;0;0;0;21024;0;0;0;0;0;0;0;0;0
914835615;3122;0;42910;0;0;0;0;0;0;0;0;0;0;0;0;0;0
914841895;3909;0;1101;0;1537;0;0;0;0;0;0;0;0;0;0;0;0
914896657;3118;262313;0;0;0;0;0;148659;0;0;0;0;0;0;0;0;0
914913241;3419;0;0;0;0;0;0;60146;0;65109;0;0;0;0;0;0;0
914955033;3226;0;0;0;0;0;0;0;0;57956;0;0;0;0;0;0;0
915003648;4205;0;0;0;0;0;0;37069;0;0;0;0;0;0;0;0;0
915016502;3909;0;0;0;0;0;0;0;0;34679;0;0;0;0;0;0;0
915022790;5037;0;0;0;0;0;0;68375;0;0;0;0;0;0;0;0;0
915141803;3101;0;0;0;0;0;0;93089;0;51780;0;0;0;0;0;0;0
915206379;3112;0;0;0;0;0;0;45060;0;0;0;0;0;0;0;50581;0
915477372;5038;0;0;0;0;0;0;247614;0;0;0;0;0;0;0;0;0
915502148;5029;0;0;0;0;0;0;0;0;24623;0;0;0;0;0;0;0
915528058;3905;0;0;0;0;0;0;104835;0;0;0;0;0;0;0;31459;0
915713424;4206;0;0;0;0;0;0;7056;0;0;0;0;0;0;0;0;0
